623,43398969,-0.0003502557,0.0004671146,0.0001495527,-0.262299,-0.04824165,-9.79908,0,0,45.26403,1,1,7996,3998
1017,43476586,-6.421741e-05,0.0002256969,-0.0002176741,-0.2501024,-0.05606136,-9.788243,0,0,45.26529,1,1,7996,3998
1268,43615439,-0.0001815815,0.0003059213,0.0003489915,-0.2599791,-0.05291507,-9.797327,0,0,45.26761,1,1,7996,3998
1283,43635569,-0.0001560304,0.0003551448,0.0002827347,-0.2564083,-0.05674719,-9.791858,0,0,45.2677,1,1,7996,3998
1290,43655521,-8.233532e-05,0.0004782409,0.0002505833,-0.2590239,-0.05266486,-9.798885,0,0,45.2677,1,1,7996,3998
1297,43675578,-0.0001107121,0.0005460223,0.0001152314,-0.262421,-0.05480279,-9.796717,0,0,45.2677,1,1,7996,3998
1306,43695587,-0.0001158069,0.0004980803,2.57022e-05,-0.2607173,-0.05859281,-9.800272,0,0,45.2677,1,1,7996,3998
1313,43715727,-0.0001123063,0.0003683692,1.551906e-05,-0.2582346,-0.05357157,-9.802567,0,0,45.26761,1,1,7996,3998
1328,43735561,-5.45904e-05,0.0001770403,-6.347641e-05,-0.2593131,-0.05517343,-9.803878,0,0,45.26741,1,1,7996,3998
1335,43755395,-0.0001345063,3.557309e-05,8.451708e-05,-0.2623421,-0.05381528,-9.803411,0,0,45.26712,1,1,7996,3998
1342,43775563,-0.0001354156,9.128707e-05,0.0002659052,-0.2610853,-0.05397873,-9.803078,0,0,45.26645,1,1,7996,3998
1354,43795616,-0.0001457313,8.516764e-05,0.0003474574,-0.263518,-0.0560718,-9.794067,0,0,45.2658,1,1,7996,3998
1361,43815680,-4.116278e-05,6.033852e-05,0.0003527764,-0.2591133,-0.05565535,-9.792654,0,0,45.26533,1,1,7996,3998
1374,43835574,0.000118594,3.09647e-05,0.0003828812,-0.2584812,-0.05730177,-9.798523,0,0,45.26506,1,1,7996,3998
1381,43855574,0.0001292394,-6.389985e-05,0.0003046764,-0.248964,-0.05644066,-9.794912,0,0,45.26465,1,1,7996,3998
1390,43875565,-2.654518e-05,-0.0002124455,0.0001389583,-0.2516527,-0.05570239,-9.783443,0,0,45.26482,1,1,7996,3998
1400,43895531,-0.0002221824,-0.0003801416,5.27675e-05,-0.2524512,-0.05117587,-9.786228,0,0,45.26468,1,1,7996,3998
1407,43915607,-0.0004823543,-0.000449523,-3.13052e-05,-0.2500513,-0.04602716,-9.793839,0,0,45.26483,1,1,7996,3998
1420,43935596,-0.0007029681,-0.000571191,5.804446e-05,-0.2508558,-0.05253893,-9.792911,0,0,45.26479,1,1,7996,3998
1427,43955561,-0.0006879881,-0.0005282697,0.0001279149,-0.2578348,-0.05730497,-9.795395,0,0,45.26526,1,1,7996,3998
1434,43975437,-0.0006462226,-0.0004441878,0.0003078312,-0.2631069,-0.06045545,-9.797604,0,0,45.26565,1,1,7996,3998
1443,43995598,-0.0006147298,-0.0003572676,0.0005039208,-0.262167,-0.062137,-9.782,0,0,45.26609,1,1,7996,3998
