1275,43616605,155,-61,242,-50,217,17,0,0,0,1,43616585
1318,43716563,156,-59,240,-50,217,17,0,0,0,1,43716538
1366,43816588,158,-60,242,-50,217,17,0,0,0,1,43816569
1412,43916199,158,-57,241,-50,217,17,0,0,0,1,43915990
1455,44016424,158,-58,240,-50,217,17,0,0,0,1,44016404
1501,44116577,158,-60,240,-50,217,17,0,0,0,1,44116558
1544,44216205,157,-55,239,-50,217,17,0,0,0,1,44216038
1588,44316204,156,-59,242,-50,217,17,0,0,0,1,44316034
1631,44416438,158,-57,244,-50,217,17,0,0,0,1,44416419
1677,44516212,158,-55,241,-50,217,17,0,0,0,1,44516193
1720,44616023,159,-62,242,-50,217,17,0,0,0,1,44615989
1763,44716570,158,-60,241,-50,217,17,0,0,0,1,44716550
1810,44816358,159,-61,235,-50,217,17,0,0,0,1,44816339
1854,44916069,157,-65,238,-50,217,17,0,0,0,1,44916050
1897,45016100,155,-58,241,-50,217,17,0,0,0,1,45016076
1941,45116431,157,-57,245,-50,217,17,0,0,0,1,45116412
1984,45216387,158,-57,241,-50,217,17,0,0,0,1,45216262
2029,45316929,156,-58,245,-50,217,17,0,0,0,1,45316909
2073,45416335,156,-59,241,-50,217,17,0,0,0,1,45416316
2116,45516564,154,-63,242,-50,217,17,0,0,0,1,45516503
2159,45616389,154,-60,239,-50,217,17,0,0,0,1,45616370
2202,45716421,156,-55,242,-50,217,17,0,0,0,1,45716401
2245,45816548,152,-59,241,-50,217,17,0,0,0,1,45816443
2291,45916267,158,-58,237,-50,217,17,0,0,0,1,45916248
2335,46016435,157,-61,246,-50,217,17,0,0,0,1,46016184
2379,46116435,157,-60,240,-50,217,17,0,0,0,1,46116415
2422,46216240,155,-56,243,-50,217,17,0,0,0,1,46216220
2465,46316496,160,-63,244,-50,217,17,0,0,0,1,46316093
2509,46416445,159,-58,237,-50,217,17,0,0,0,1,46416425
2552,46516425,156,-61,245,-50,217,17,0,0,0,1,46516406
2595,46616536,157,-57,242,-50,217,17,0,0,0,1,46616330
